deep-extend,0.6.0,MIT,https://github.com/unclechu/node-deep-extend
deep-is,0.1.3,MIT,http://thlorenz.com
deepmerge,2.1.1,MIT,https://github.com/KyleAMathews/deepmerge
default-require-extensions,2.0.0,MIT,github.com/jamestalmage
define-properties,1.1.3,MIT,Unknown
define-property,0.2.5,MIT,https://github.com/jonschlinkert/define-property
define-property,1.0.0,MIT,https://github.com/jonschlinkert/define-property
define-property,2.0.2,MIT,https://github.com/jonschlinkert/define-property
defined,1.0.0,MIT,https://github.com/substack/defined
del,2.2.2,MIT,sindresorhus.com
del,3.0.0,MIT,sindresorhus.com
delayed-stream,1.0.0,MIT,https://github.com/felixge/node-delayed-stream
delegates,1.0.0,MIT,Unknown
depd,1.1.1,MIT,Unknown
depd,1.1.2,MIT,Unknown
des.js,1.0.0,MIT,https://github.com/indutny/des.js#readme
descendants_tracker,0.0.4,MIT,https://github.com/dkubb/descendants_tracker
destroy,1.0.4,MIT,http://jongleberry.com
detect-indent,4.0.0,MIT,sindresorhus.com
detect-libc,1.0.3,Apache 2.0,Unknown
detect-newline,2.1.0,MIT,sindresorhus.com
detect-node,2.0.3,ISC,https://github.com/iliakan/detect-node
diff,3.5.0,New BSD,Unknown
diff-lcs,1.3,"MIT,Artistic-2.0,GPL-2.0+",https://github.com/halostatue/diff-lcs
diffie-hellman,5.0.3,MIT,https://github.com/crypto-browserify/diffie-hellman
discontinuous-range,1.0.0,MIT,https://github.com/dtudury/discontinuous-range
dns-equal,1.0.0,MIT,https://github.com/watson/dns-equal#readme
dns-packet,1.3.1,MIT,https://github.com/mafintosh/dns-packet
dns-txt,2.0.2,MIT,https://github.com/watson/dns-txt
doctrine,1.5.0,Simplified BSD,https://github.com/eslint/doctrine
doctrine,2.1.0,Apache 2.0,https://github.com/eslint/doctrine
dom-helpers,3.3.1,MIT,Unknown
dom-serializer,0.1.0,MIT,Unknown
domain-browser,1.2.0,MIT,https://github.com/bevry/domain-browser
domelementtype,1.1.3,Simplified BSD,Unknown
domelementtype,1.3.0,Simplified BSD,Unknown
domexception,1.0.1,MIT,https://domenic.me/
domhandler,2.4.2,Simplified BSD,Unknown
domutils,1.5.1,Simplified BSD,Unknown
domutils,1.7.0,Simplified BSD,Unknown
dora,0.2.0,MIT,https://www.github.com/ca-cwds/dora
dotenv,2.5.0,MIT,https://github.com/bkeepers/dotenv
dotenv-rails,2.5.0,MIT,https://github.com/bkeepers/dotenv
downshift,3.1.5,MIT,https://github.com/paypal/downshift#readme
dumb_delegator,0.8.0,MIT,https://github.com/stevenharman/dumb_delegator
duplexer,0.1.1,MIT,https://github.com/Raynos/duplexer
duplexify,3.6.0,MIT,https://github.com/mafintosh/duplexify
ecc-jsbn,0.1.2,MIT,https://github.com/quartzjer/ecc-jsbn
ee-first,1.1.1,MIT,http://jongleberry.com
electron-to-chromium,1.3.61,ISC,Unknown
elliptic,6.4.1,MIT,https://github.com/indutny/elliptic
emoji-regex,6.5.1,MIT,https://mths.be/emoji-regex
emojis-list,2.1.0,MIT,https://github.com/Kikobeats/emojis-list
emotion,9.2.12,MIT,https://emotion.sh/
encodeurl,1.0.2,MIT,Unknown
encoding,0.1.12,MIT,Unknown
end-of-stream,1.4.1,MIT,https://github.com/mafintosh/end-of-stream
engine.io,3.2.0,MIT,https://github.com/socketio/engine.io
engine.io-client,3.2.1,MIT,https://github.com/socketio/engine.io-client
engine.io-parser,2.1.2,MIT,https://github.com/socketio/engine.io-parser
enhanced-resolve,3.4.1,MIT,http://github.com/webpack/enhanced-resolve
entities,1.1.1,Simplified BSD,Unknown
enzyme,3.5.0,MIT,http://airbnb.io/enzyme/
enzyme-adapter-react-16,1.3.0,MIT,http://airbnb.io/enzyme/
enzyme-adapter-utils,1.6.0,MIT,http://airbnb.io/enzyme/
equalizer,0.0.11,MIT,https://github.com/dkubb/equalizer
errno,0.1.7,MIT,Unknown
error-ex,1.3.2,MIT,Unknown
erubi,1.7.1,MIT,https://github.com/jeremyevans/erubi
es-abstract,1.12.0,MIT,http://ljharb.codes
es-to-primitive,1.1.1,MIT,Unknown
es5-ext,0.10.46,ISC,http://www.medikoo.com/
es6-iterator,2.0.3,MIT,http://www.medikoo.com/
es6-map,0.1.5,MIT,http://www.medikoo.com/
es6-set,0.1.5,MIT,http://www.medikoo.com/
es6-symbol,3.1.1,MIT,http://www.medikoo.com/
es6-weak-map,2.0.2,MIT,http://www.medikoo.com/
escape-html,1.0.3,MIT,Unknown
escape-string-regexp,1.0.5,MIT,sindresorhus.com
escodegen,1.11.0,Simplified BSD,http://github.com/estools/escodegen
